"Treatment","Toxicity_Rate"
"WT","0.2681 (0.2158, 0.3319)"
"HapB3","0.4245 (0.3353, 0.5186)"
"2846hetho","0.7509 (0.6222, 0.8494)"
"2Ahetho","0.7078 (0.5894, 0.8065)"
"13hetho","0.7117 (0.4537, 0.8970)"
